timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1537691116552,2770,get_product_family,200,OK,login_make_delete_logout 1-4,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,2770,0,47
1537691116730,3595,delete_product,200,OK,login_make_delete_logout 1-6,text,true,,300,287,10,10,http://193.105.219.194:8080/api/gds-release/v1/products/5041,3595,0,1039
1537691120327,2590,post_logout,200,OK,login_make_delete_logout 1-6,,true,,251,314,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/logout,2590,0,40
1537691122919,87,get_login,200,OK,login_make_delete_logout 1-6,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,87,0,41
1537691123008,1512,post_login,200,OK,login_make_delete_logout 1-6,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1512,0,38
1537691124519,1462,get_product_family,200,OK,login_make_delete_logout 1-6,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,1461,0,0
1537691084989,43042,make_product,200,OK,login_make_delete_logout 1-9,text,true,,1054617,512,10,10,http://193.105.219.194:8080/api/gds-release/v1/products,1844,0,57
1537691091020,44582,make_product,200,OK,login_make_delete_logout 1-1,text,true,,1049518,512,10,10,http://193.105.219.194:8080/api/gds-release/v1/products,3064,0,43
1537691064476,72326,make_product,200,OK,login_make_delete_logout 1-10,text,true,,1065897,512,9,9,http://193.105.219.194:8080/api/gds-release/v1/products,1814,0,0
1537691094245,45833,make_product,200,OK,login_make_delete_logout 1-5,text,true,,1047947,512,8,8,http://193.105.219.194:8080/api/gds-release/v1/products,2938,0,1046
1537691097178,48387,make_product,200,OK,login_make_delete_logout 1-8,text,true,,1047437,512,7,7,http://193.105.219.194:8080/api/gds-release/v1/products,5370,0,0
1537691114600,32723,get_product_list,200,OK,login_make_delete_logout 1-3,text,true,,1038816,217,6,6,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,2303,0,43
1537691102255,46474,make_product,200,OK,login_make_delete_logout 1-2,text,true,,1045865,512,5,5,http://193.105.219.194:8080/api/gds-release/v1/products,1588,0,40
1537691111643,37974,make_product,200,OK,login_make_delete_logout 1-7,text,true,,1039939,512,4,4,http://193.105.219.194:8080/api/gds-release/v1/products,1374,0,40
1537691119324,33652,make_product,200,OK,login_make_delete_logout 1-4,text,true,,1036259,512,3,3,http://193.105.219.194:8080/api/gds-release/v1/products,1556,0,44
1537691125982,27721,make_product,200,OK,login_make_delete_logout 1-6,text,true,,1033549,512,2,2,http://193.105.219.194:8080/api/gds-release/v1/products,579,0,46
1537691128031,27482,get_product_list,200,OK,login_make_delete_logout 1-9,text,true,,1032932,217,1,1,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,5426,0,3043
